"parameter","cat1_mean","cat1_sd","cat1_median","cat1_Q1","cat1_Q3","cat2_mean","cat2_sd","cat2_median","cat2_Q1","cat2_Q3","p_mean","p_sd","p_median","p_Q1","p_Q3"
"asc_cmax",826.236320583333,284.181499780493,894.5703466,725.16448965,1014.23798825,746.294986016667,180.778030787124,675.1154051,651.30332165,861.69656165,47.517707555,34.7608606667918,44.91357692,32.286563935,58.6390325175
"asc_tmax",30,0,30,30,30,85,12.2474487139159,90,90,90,80,90.3327183250897,60,0,165
"asc_auc",1.35711317827458,0.4794160148118,1.538232437595,1.1617783067075,1.63447364404094,1.41546944803562,0.364837237497062,1.26023080592813,1.23002031394625,1.51583395552563,0.123709594693958,0.0976447480093724,0.116686904303125,0.0841428628625,0.133949533520625
"asc_auc_30_90",0.6315814453,0.218741176649574,0.703392717475,0.53273757939375,0.7664931340625,0.603939457858333,0.170355377770693,0.5240835268125,0.49218947715,0.66535534951875,0.0420154016541667,0.0332801754184124,0.038364079625,0.02710373838125,0.048834367499375
"asc_c_mean_30_90",648.070023455556,224.551538381202,717.810080433333,550.437185591667,788.619937125,593.923882772222,160.109608600964,517.610271983333,492.550096491667,661.89928325,42.0426479944444,33.3315989748555,38.1290707516667,26.8516110625,49.5047581258333
"asc_ke",0.637659920439555,0.0967620139641732,0.632088138530045,0.591071265360494,0.677087616390144,0.624445767732762,0.0663517694545468,0.612701620112889,0.583120086248789,0.676077241254978,NA,NA,NA,NA,NA
"asc_t12",1.10811707107328,0.168954132886903,1.09819018064819,1.02405191228004,1.17301220237119,1.12040441655071,0.117624022059321,1.13129827699061,1.02838093436912,1.18962378317406,NA,NA,NA,NA,NA
"asc_Cl",7.73702793461711,4.86252838891797,5.65726456281775,5.23555538033803,7.51216123906548,5.10689405468573,1.08124494487969,5.22130620907397,4.54401255233133,5.75626656213225,NA,NA,NA,NA,NA
"asc_V",11.7353146725487,5.48802332709357,10.1647900106429,8.46270409950445,12.5003681148426,8.25292390165905,1.9260695981584,8.82123159065559,6.77819836557375,9.36872808034074,NA,NA,NA,NA,NA
"asc_auc_inf",2.22482004339532,0.82522557147919,2.48774015274914,1.9048909439633,2.68471329013012,2.60831631321658,0.622580004294608,2.44795640196287,2.22179419185546,2.82175613150168,0,0,0,0,0
"nac_cmax",577.25144385,130.39050221778,608.30659165,515.723326575,630.090533975,760.2548613,21.4207343261272,760.2548613,752.68148805,767.82823455,0,0,0,0,0
"nac_tmax",30,0,30,30,30,85,12.2474487139159,90,90,90,0,0,0,0,0
"nac_auc",0.83562705385375,0.273544899747287,0.847890854155,0.61737876392125,0.941595542036875,1.6203592346625,0.12869926881791,1.60110482075625,1.51665432064062,1.71027893050938,0,0,0,0,0
"nac_auc_30_90",0.398167148254167,0.139994493928674,0.415270258225,0.2866899345,0.461646562925,0.689883038191667,0.0461521937976485,0.682386489025,0.66329004164375,0.730800666975,0,0,0,0,0
"nac_c_mean_30_90",411.412941827778,138.064325888017,429.2888083,302.668426966667,473.050893708333,684.143728013333,35.5467270189827,680.775938533333,657.1840082,720.101251666667,0,0,0,0,0
"nac_ke",0.487857221909605,0.23271713773922,0.45674857678917,0.352566332982233,0.558383530190885,0.399658900083992,0.137171632572192,0.386885522621867,0.371742051892223,0.408566085193036,NA,NA,NA,NA,NA
"nac_t12",1.72175906270604,0.847675527157098,1.52758730104382,1.2473850399356,1.98735338848601,1.9304255666741,0.752362785722725,1.7929097789313,1.69697359489796,1.86469109299831,NA,NA,NA,NA,NA
"nac_Cl",9.06279700865425,2.78750159931444,9.181866313107,6.87467939153561,11.0298024860228,6.7421398291426,1.20495155312091,6.95324543690979,6.39868617830401,7.21417363877561,NA,NA,NA,NA,NA
"nac_V",23.4433149472617,16.394881465697,18.4324339956622,12.4887312367069,27.1959833251847,17.7322998197718,3.15257214707579,17.6249073118122,16.8135457416566,18.4333374137356,NA,NA,NA,NA,NA
"nac_auc_inf",1.47458444770432,0.490048632401452,1.33492242741971,1.11963692803343,1.82860076819948,3.74934662656015,0.778729331686885,3.52497531529156,3.39892689777453,3.83936987440132,0,0,0,0,0
"dfo_cmax",7.29135894883333,2.64412342920647,7.555145482,5.795464177,7.822986553,4.74424943116667,2.40501440258385,3.7939671025,3.318648315,5.22844936175,0,0,0,0,0
"dfo_tmax",30,0,30,30,30,60,0,60,60,60,0,0,0,0,0
"dfo_auc",0.00637287373989583,0.0016036119164696,0.00684977514675,0.0061190497778125,0.0069894613206875,0.00553231745491667,0.00305425143508968,0.0048340063215625,0.00362674945040625,0.0054244795424375,0,0,0,0,0
"dfo_auc_30_90",0.003630825829375,0.000953183751042066,0.00375795761875,0.0036300318555,0.0038908603754375,0.00370149902633333,0.00225040631191235,0.002863658464875,0.00227463626275,0.0039387475000625,0,0,0,0,0
"dfo_c_mean_30_90",3.88138044555556,1.1143770469704,4.04317671866667,3.65200143558333,4.2013747475,3.35391555805556,2.21729581457048,2.657287339,1.9523732365,3.5088468795,0,0,0,0,0
"dfo_ke",2.36818005092553,1.97487177240661,1.44373163755789,1.14906753434233,3.85889323800885,3.57905553427399,3.29144516890884,2.25567866953517,1.10549665395758,6.50842958854648,NA,NA,NA,NA,NA
"dfo_t12",0.555522113952806,0.48146170964057,0.490055821184665,0.218185425947823,0.60437421882666,0.459464845408587,0.421315242375947,0.358963014652683,0.123730281390761,0.63984236321975,NA,NA,NA,NA,NA
"dfo_Cl",259.642158377984,105.452677461581,222.902766979385,213.11748970317,269.209148712932,477.331231255436,169.657197819168,480.248195925192,384.29188180253,608.430793883181,NA,NA,NA,NA,NA
"dfo_V",193.265982810752,148.371991392184,157.607556125164,80.2101652848089,293.82884100109,327.863760515868,277.760903165501,315.956882149765,85.3132875344888,568.103101766965,NA,NA,NA,NA,NA
"dfo_auc_inf",0.0076323552044297,0.00243853895046115,0.00798554824722439,0.006685928472168,0.00835772901121769,0.00683209155354586,0.00307059530598083,0.00593511098424396,0.00475917076742081,0.00753745990423386,0,0,0,0,0
