"parameter","cat1_mean","cat1_sd","cat1_median","cat1_Q1","cat1_Q3","cat2_mean","cat2_sd","cat2_median","cat2_Q1","cat2_Q3","p_mean","p_sd","p_median","p_Q1","p_Q3"
"asc_cmax",826.236320583333,284.181499780493,894.5703466,725.16448965,1014.23798825,746.294986016667,180.778030787124,675.1154051,651.30332165,861.69656165,47.517707555,34.7608606667918,44.91357692,32.286563935,58.6390325175
"asc_tmax",30,0,30,30,30,85,12.2474487139159,90,90,90,80,90.3327183250897,60,0,165
"asc_auc",1.35711317827458,0.4794160148118,1.538232437595,1.1617783067075,1.63447364404094,1.41546944803562,0.364837237497062,1.26023080592813,1.23002031394625,1.51583395552563,0.123709594693958,0.0976447480093724,0.116686904303125,0.0841428628625,0.133949533520625
"asc_auc_30_90",0.6315814453,0.218741176649574,0.703392717475,0.53273757939375,0.7664931340625,0.603939457858333,0.170355377770693,0.5240835268125,0.49218947715,0.66535534951875,0.0420154016541667,0.0332801754184124,0.038364079625,0.02710373838125,0.048834367499375
"asc_c_mean_30_90",648.070023455556,224.551538381202,717.810080433333,550.437185591667,788.619937125,593.923882772222,160.109608600964,517.610271983333,492.550096491667,661.89928325,42.0426479944444,33.3315989748555,38.1290707516667,26.8516110625,49.5047581258333
"asc_ke",0.0106276653406592,0.00161270023273622,0.0105348023088341,0.00985118775600823,0.0112847936065024,0.0104074294622127,0.00110586282424245,0.0102116936685482,0.00971866810414648,0.0112679540209163,NA,NA,NA,NA,NA
"asc_t12",66.4870242643971,10.1372479732142,65.8914108388912,61.4431147368023,70.3807321422715,67.2242649930425,7.05744132355928,67.8778966194368,61.7028560621473,71.3774269904439,NA,NA,NA,NA,NA
"asc_Cl",12.3587503927985,7.13688603041463,9.16873335515941,8.59604152435036,12.3008990443801,9.45090724571521,2.03129489380056,10.1336483125518,8.50818767553827,10.3829065483263,0,0,0,0,0
"asc_V",1130.69675487209,480.18901129371,1011.20904143471,814.73078288597,1229.89631825733,919.295864395133,232.92536667439,976.038181583999,736.992407846231,1101.8877345708,NA,NA,NA,NA,NA
"nac_cmax",577.25144385,130.39050221778,608.30659165,515.723326575,630.090533975,760.2548613,21.4207343261272,760.2548613,752.68148805,767.82823455,0,0,0,0,0
"nac_tmax",30,0,30,30,30,85,12.2474487139159,90,90,90,0,0,0,0,0
"nac_auc",0.83562705385375,0.273544899747287,0.847890854155,0.61737876392125,0.941595542036875,1.6203592346625,0.12869926881791,1.60110482075625,1.51665432064062,1.71027893050938,0,0,0,0,0
"nac_auc_30_90",0.398167148254167,0.139994493928674,0.415270258225,0.2866899345,0.461646562925,0.689883038191667,0.0461521937976485,0.682386489025,0.66329004164375,0.730800666975,0,0,0,0,0
"nac_c_mean_30_90",411.412941827778,138.064325888017,429.2888083,302.668426966667,473.050893708333,684.143728013333,35.5467270189827,680.775938533333,657.1840082,720.101251666667,0,0,0,0,0
"nac_ke",0.00813095369849342,0.00387861896232033,0.00761247627981949,0.00587610554970388,0.00930639216984808,0.00666098166806654,0.0022861938762032,0.00644809204369779,0.00619570086487038,0.00680943475321727,NA,NA,NA,NA,NA
"nac_t12",103.305543762362,50.8605316294259,91.6552380626292,74.843102396136,119.24120330916,115.825534000446,45.1417671433635,107.574586735878,101.818415693878,111.881465579898,NA,NA,NA,NA,NA
"nac_Cl",16.0546470694732,5.29527548639897,14.4769195973719,13.0255663217465,20.3882577627232,15.2046757002785,1.18602553956749,15.3178426431414,14.3389809703315,16.1650676237399,NA,NA,NA,NA,NA
"nac_V",2595.62048883412,2006.1237108628,2078.51301093499,1209.51196129683,2953.33115205386,2498.66679350792,810.107967966822,2394.35336440727,2202.80520390492,2574.86829557245,NA,NA,NA,NA,NA
"dfo_cmax",7.29135894883333,2.64412342920647,7.555145482,5.795464177,7.822986553,4.74424943116667,2.40501440258385,3.7939671025,3.318648315,5.22844936175,0,0,0,0,0
"dfo_tmax",30,0,30,30,30,60,0,60,60,60,0,0,0,0,0
"dfo_auc",0.00637287373989583,0.0016036119164696,0.00684977514675,0.0061190497778125,0.0069894613206875,0.00553231745491667,0.00305425143508968,0.0048340063215625,0.00362674945040625,0.0054244795424375,0,0,0,0,0
"dfo_auc_30_90",0.003630825829375,0.000953183751042066,0.00375795761875,0.0036300318555,0.0038908603754375,0.00370149902633333,0.00225040631191235,0.002863658464875,0.00227463626275,0.0039387475000625,0,0,0,0,0
"dfo_c_mean_30_90",3.88138044555556,1.1143770469704,4.04317671866667,3.65200143558333,4.2013747475,3.35391555805556,2.21729581457048,2.657287339,1.9523732365,3.5088468795,0,0,0,0,0
"dfo_ke",0.0394696675154256,0.0329145295401103,0.0240621939592982,0.0191511255723722,0.0643148873001475,0.0596509255712332,0.0548574194818141,0.037594644492253,0.0184249442326263,0.108473826475775,NA,NA,NA,NA,NA
"dfo_t12",33.3313268371683,28.8877025784342,29.4033492710799,13.0911255568694,36.2624531295995,27.5678907245152,25.2789145425568,21.5377808791609,7.42381688344565,38.390541793185,NA,NA,NA,NA,NA
"dfo_Cl",301.423741094372,108.165086287472,259.890666167526,254.677316708191,291.949416623662,615.326052835351,236.331023552317,592.678712324349,525.751156835672,798.679320380081,NA,NA,NA,NA,NA
"dfo_V",14717.3829214873,12422.7698883301,10980.0505714663,5263.16006035172,23899.7225791104,28395.6520541828,26720.8055607167,23582.193287041,5667.291385666,48776.7525226474,NA,NA,NA,NA,NA
